last_function_id,last_args,reward
13,"[[0], [50, 32]]",0
452,"[[0], [55, 54]]",0
274,[[1]],0
4,"[[1], [2]]",0
331,"[[1], [57, 19]]",0
3,"[[1], [49, 15], [30, 37]]",0
334,"[[1], [21, 4]]",0
333,"[[0], [68, 56]]",0
333,"[[0], [52, 67]]",0
0,[],0
234,[[0]],0
332,"[[1], [4, 39]]",0
452,"[[1], [37, 21]]",0
452,"[[0], [13, 4]]",0
0,[],0
4,"[[2], [0]]",0
2,"[[3], [2, 44]]",0
332,"[[0], [55, 1]]",0
2,"[[1], [33, 83]]",0
3,"[[1], [14, 76], [4, 33]]",0
13,"[[1], [60, 5]]",0
333,"[[0], [52, 35]]",0
334,"[[1], [39, 45]]",0
452,"[[1], [39, 49]]",0
453,[[1]],0
333,"[[1], [75, 44]]",0
3,"[[1], [10, 31], [64, 11]]",0
274,[[1]],0
2,"[[3], [13, 44]]",0
0,[],0
4,"[[1], [3]]",0
4,"[[4], [6]]",0
0,[],0
331,"[[1], [62, 78]]",0
12,"[[0], [4, 54]]",0
333,"[[1], [59, 24]]",0
452,"[[1], [50, 18]]",0
7,[[1]],0
234,[[0]],0
332,"[[1], [32, 36]]",0
453,[[1]],0
274,[[1]],0
453,[[0]],0
333,"[[1], [48, 78]]",0
13,"[[1], [8, 16]]",0
234,[[1]],0
12,"[[0], [34, 47]]",0
0,[],0
332,"[[1], [24, 30]]",0
12,"[[0], [75, 17]]",0
451,"[[0], [57, 65]]",0
3,"[[0], [68, 5], [11, 81]]",0
333,"[[0], [18, 35]]",0
7,[[0]],0
451,"[[0], [32, 21]]",0
332,"[[0], [16, 42]]",0
0,[],0
5,"[[2], [480]]",0
4,"[[0], [0]]",0
452,"[[1], [7, 3]]",0
274,[[0]],0
333,"[[1], [7, 60]]",0
331,"[[0], [25, 28]]",0
332,"[[1], [12, 47]]",0
452,"[[0], [26, 10]]",0
7,[[0]],0
451,"[[1], [51, 18]]",0
12,"[[0], [75, 57]]",0
334,"[[1], [19, 39]]",0
331,"[[1], [30, 11]]",0
452,"[[0], [16, 63]]",0
3,"[[0], [51, 62], [69, 33]]",0
453,[[0]],0
274,[[0]],0
453,[[1]],0
4,"[[2], [8]]",0
331,"[[1], [32, 52]]",0
333,"[[1], [54, 47]]",0
7,[[0]],0
451,"[[0], [61, 65]]",0
5,"[[1], [258]]",0
451,"[[1], [68, 16]]",0
4,"[[4], [2]]",0
274,[[1]],0
3,"[[1], [19, 53], [61, 13]]",0
5,"[[2], [303]]",0
0,[],0
12,"[[1], [54, 54]]",0
3,"[[0], [28, 66], [5, 46]]",0
3,"[[1], [59, 59], [28, 60]]",0
12,"[[1], [49, 66]]",0
234,[[1]],0
0,[],0
274,[[0]],0
332,"[[0], [44, 56]]",0
1,"[[5, 51]]",0
332,"[[0], [12, 15]]",0
274,[[0]],0
1,"[[2, 49]]",0
13,"[[0], [50, 5]]",0
3,"[[1], [37, 1], [58, 47]]",0
1,"[[27, 35]]",0
331,"[[1], [52, 28]]",0
13,"[[1], [14, 29]]",0
334,"[[1], [12, 44]]",0
7,[[0]],0
4,"[[4], [2]]",0
234,[[0]],0
13,"[[0], [21, 51]]",0
234,[[1]],0
274,[[0]],0
452,"[[0], [53, 39]]",0
331,"[[1], [42, 40]]",0
12,"[[1], [41, 8]]",0
334,"[[0], [51, 7]]",0
333,"[[1], [34, 79]]",0
0,[],0
3,"[[1], [16, 23], [82, 7]]",0
3,"[[1], [63, 17], [11, 34]]",0
4,"[[4], [3]]",-1
1,"[[12, 26]]",0.0
2,"[[0], [58, 23]]",0
2,"[[3], [26, 64]]",0
4,"[[3], [8]]",0
2,"[[1], [15, 3]]",0
7,[[0]],0
451,"[[0], [77, 72]]",0
5,"[[2], [327]]",0
331,"[[0], [79, 21]]",0
5,"[[2], [82]]",0
4,"[[4], [7]]",0
1,"[[15, 7]]",0
332,"[[0], [11, 56]]",0
3,"[[0], [69, 52], [13, 24]]",0
333,"[[1], [30, 29]]",0
453,[[1]],0
13,"[[0], [46, 37]]",0
2,"[[3], [21, 14]]",0
332,"[[0], [43, 37]]",0
453,[[1]],0
453,[[1]],0
451,"[[1], [8, 24]]",0
7,[[0]],0
5,"[[2], [496]]",0
5,"[[0], [270]]",0
333,"[[1], [42, 20]]",0
332,"[[1], [18, 39]]",0
0,[],0
332,"[[0], [21, 36]]",0
331,"[[1], [52, 83]]",-1
4,"[[3], [3]]",0.0
0,[],0
4,"[[0], [7]]",0
7,[[1]],0
3,"[[0], [25, 8], [56, 48]]",0
0,[],0
453,[[0]],0
4,"[[4], [8]]",0
332,"[[0], [51, 38]]",0
453,[[1]],0
334,"[[0], [44, 47]]",0
334,"[[0], [51, 15]]",0
13,"[[1], [2, 31]]",0
333,"[[0], [25, 21]]",0
334,"[[1], [30, 1]]",0
7,[[0]],0
4,"[[3], [6]]",1
2,"[[0], [81, 10]]",0.0
7,[[1]],0
2,"[[3], [12, 78]]",0
0,[],0
5,"[[3], [15]]",0
12,"[[1], [3, 30]]",0
2,"[[3], [0, 78]]",0
2,"[[2], [57, 58]]",0
234,[[1]],0
451,"[[1], [27, 24]]",0
2,"[[0], [19, 81]]",0
453,[[0]],0
332,"[[1], [59, 2]]",0
274,[[0]],0
13,"[[0], [24, 44]]",0
332,"[[1], [21, 2]]",0
7,[[0]],0
12,"[[0], [18, 66]]",0
0,[],0
4,"[[4], [0]]",0
